,Fichero,Identificador,Fecha,Fecha_Clasificacion,Objeto,Trayectoria_1,Trayectoria_2,Grosor_1,Grosor_2,Retirada
58,""":{""retired"":{""id"":116920432,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:15.980Z"",""updated_at"":""2023-06-14T04:16:42.331Z"",""retired_at"":""2023-06-14T04:16:42.323Z"",""subject_id"":89716174,""retirement_reason"":""classification_count""}",89716174,"20432,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:1",20230614,Other,,,,,False
59,""":{""retired"":{""id"":116920309,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:00:59.227Z"",""updated_at"":""2023-06-14T07:00:25.568Z"",""retired_at"":""2023-06-14T07:00:25.549Z"",""subject_id"":89716146,""retirement_reason"":""classification_count""}",89716146,"20309,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:00:5",20230614,Lightning,,,,,False
60,""":{""retired"":{""id"":116920292,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:00:26.404Z"",""updated_at"":""2023-06-13T23:36:02.916Z"",""retired_at"":""2023-06-13T23:36:02.907Z"",""subject_id"":89716100,""retirement_reason"":""classification_count""}",89716100,"20292,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:00:2",20230614,Lightning,,,,,True
61,""":{""retired"":null",89716141,,20230614,Lightning,,,,,False
62,""":{""retired"":{""id"":116920370,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:02:43.395Z"",""updated_at"":""2023-06-14T06:31:28.984Z"",""retired_at"":""2023-06-14T06:31:28.975Z"",""subject_id"":89716109,""retirement_reason"":""classification_count""}",89716109,"20370,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:02:4",20230614,Other,,,,,False
63,""":{""retired"":{""id"":116920441,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:30.461Z"",""updated_at"":""2023-06-14T02:07:41.953Z"",""retired_at"":""2023-06-14T02:07:41.945Z"",""subject_id"":89716176,""retirement_reason"":""classification_count""}",89716176,"20441,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:3",20230614,Other,,,,,False
64,""":{""retired"":{""id"":116920386,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:03:09.947Z"",""updated_at"":""2023-06-14T00:15:20.181Z"",""retired_at"":""2023-06-14T00:15:20.173Z"",""subject_id"":89716096,""retirement_reason"":""classification_count""}",89716096,"20386,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:03:0",20230614,Meteoro,"[957.5858439124263, 1265.8577962238887]","[1056.8509070525226, 1352.6443603514915]","[0, 0]","[0, 0]",True
65,""":{""retired"":{""id"":116920443,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:42.605Z"",""updated_at"":""2023-06-14T02:08:06.596Z"",""retired_at"":""2023-06-14T02:08:06.587Z"",""subject_id"":89716137,""retirement_reason"":""classification_count""}",89716137,"20443,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:4",20230614,Lightning,,,,,False
66,""":{""retired"":null",89716161,,20230614,Other,,,,,False
67,""":{""retired"":null",89716179,,20230614,Meteoro,"[863.0731201171445, 205.20421541653727]","[827.3904794161188, 221.7094544626936]","[0, 0]","[0, 0]",False
