,Fichero,Identificador,Fecha,Fecha_Clasificacion,Objeto,Trayectoria_1,Trayectoria_2,Grosor_1,Grosor_2,Retirada
23,""":{""retired"":{""id"":116920428,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:15.713Z"",""updated_at"":""2023-06-14T00:11:25.046Z"",""retired_at"":""2023-06-14T00:11:25.038Z"",""subject_id"":89716182,""retirement_reason"":""classification_count""}",89716182,"20428,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:1",20230614,Meteoro,"[955.9544201660107, 322.2279199254438]","[944.3033276367183, 421.0360762572822]","[954.162536621093, 277.014923095703]","[958.40795898437, 285.5057983398437]",False
24,""":{""retired"":{""id"":116920458,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:52.755Z"",""updated_at"":""2023-06-14T06:23:22.905Z"",""retired_at"":""2023-06-14T06:23:22.897Z"",""subject_id"":89716150,""retirement_reason"":""classification_count""}",89716150,"20458,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:04:5",20230614,Lightning,,,,,False
25,""":{""retired"":{""id"":116920383,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:03:00.800Z"",""updated_at"":""2023-06-13T17:37:25.634Z"",""retired_at"":""2023-06-13T17:37:25.623Z"",""subject_id"":89716097,""retirement_reason"":""classification_count""}",89716097,"20383,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:03:0",20230613,Other,,,,,False
26,""":{""retired"":{""id"":116920311,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:01:10.379Z"",""updated_at"":""2023-06-14T00:06:09.077Z"",""retired_at"":""2023-06-14T00:06:09.069Z"",""subject_id"":89716147,""retirement_reason"":""classification_count""}",89716147,"20311,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:01:1",20230614,Lightning,,,,,False
27,""":{""retired"":null",89716189,,20230614,Meteoro,"[668.6228373167086, 405.65683746337436]","[631.9370971679259, 416.23914591470907]","[674.1406058174498, 397.9836861746649]","[661.3447248186295, 400.1762695312495]",False
28,""":{""retired"":{""id"":116920295,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:00:31.784Z"",""updated_at"":""2023-06-14T07:10:13.880Z"",""retired_at"":""2023-06-14T07:10:13.869Z"",""subject_id"":89716149,""retirement_reason"":""classification_count""}",89716149,"20295,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:00:3",20230614,Lightning,,,,,False
29,""":{""retired"":{""id"":116920390,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:03:10.218Z"",""updated_at"":""2023-06-14T02:04:41.243Z"",""retired_at"":""2023-06-14T02:04:41.219Z"",""subject_id"":89716108,""retirement_reason"":""classification_count""}",89716108,"20390,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:03:1",20230614,Other,,,,,True
30,""":{""retired"":{""id"":116920296,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:00:37.592Z"",""updated_at"":""2023-06-14T04:27:35.348Z"",""retired_at"":""2023-06-14T04:27:35.340Z"",""subject_id"":89716136,""retirement_reason"":""classification_count""}",89716136,"20296,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:00:3",20230614,Lightning,,,,,False
31,""":{""retired"":{""id"":116920334,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:01:42.719Z"",""updated_at"":""2023-06-14T00:10:14.115Z"",""retired_at"":""2023-06-14T00:10:14.104Z"",""subject_id"":89716172,""retirement_reason"":""classification_count""}",89716172,"20334,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:01:4",20230614,Other,,,,,False
32,""":{""retired"":null",89716129,,20230614,Other,,,,,False
33,""":{""retired"":null",89716157,,20230614,Other,,,,,False
34,""":{""retired"":{""id"":116920499,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:51.050Z"",""updated_at"":""2023-06-13T17:38:32.202Z"",""retired_at"":""2023-06-13T17:38:32.174Z"",""subject_id"":89716101,""retirement_reason"":""classification_count""}",89716101,"20499,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:5",20230613,Lightning,,,,,False
35,""":{""retired"":{""id"":116920507,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:06:03.585Z"",""updated_at"":""2023-06-14T07:02:01.261Z"",""retired_at"":""2023-06-14T07:02:01.253Z"",""subject_id"":89716190,""retirement_reason"":""classification_count""}",89716190,"20507,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:06:0",20230614,Meteoro,"[1161.6610595653062, 408.32233581542425]","[1137.3649047845506, 357.75009155222915]","[0, 0]","[0, 0]",False
36,""":{""retired"":{""id"":116920294,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:00:31.703Z"",""updated_at"":""2023-06-14T03:48:27.450Z"",""retired_at"":""2023-06-14T03:48:27.442Z"",""subject_id"":89716114,""retirement_reason"":""classification_count""}",89716114,"20294,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:00:3",20230614,Lightning,,,,,False
