,nombre_fichero,id
72,Gcam2-IAC-ORM-PNcaldera-CAN-2016-11-05 - 21-40-44.gif,90021927
73,Gcam2-IAC-ORM-PNcaldera-CAN-2016-11-05 - 22-00-05.gif,90021930
74,Gcam2-IAC-ORM-PNcaldera-CAN-2016-11-05 - 23-38-18.gif,90021933
75,Gcam2-IAC-ORM-PNcaldera-CAN-2016-11-06 - 00-22-27.gif,90021936
76,Gcam25-CF-tefia-CAN-2016-11-05 - 22-00-05.gif,90021938
77,Gcam25-CF-tefia-CAN-2016-11-05 - 22-34-24.gif,90021941
78,Gcam25-CF-tefia-CAN-2016-11-06 - 03-24-30.gif,90021945
79,Gcam3-teleferico-PNteide-CAN-2016-05-03 - 00-16-17.gif,90021947
80,Gcam3-teleferico-PNteide-CAN-2016-05-04 - 02-35-47.gif,90021950
81,Gcam3-teleferico-PNteide-CAN-2016-05-04 - 04-36-17.gif,90021953
82,Gcam3-teleferico-PNteide-CAN-2016-05-06 - 03-53-25.gif,90021955
83,Gcam3-teleferico-PNteide-CAN-2016-05-06 - 04-20-13.gif,90021958
84,Gcam3-teleferico-PNteide-CAN-2016-05-24 - 00-53-32.gif,90021960
85,Gcam3-teleferico-PNteide-CAN-2016-05-25 - 00-46-53.gif,90021964
86,Gcam3-teleferico-PNteide-CAN-2016-11-05 - 20-00-25.gif,90021968
87,Gcam3-teleferico-PNteide-CAN-2016-11-05 - 20-39-48.gif,90021971
88,Gcam3-teleferico-PNteide-CAN-2016-11-05 - 21-40-44.gif,90021973
89,Gcam3-teleferico-PNteide-CAN-2016-11-05 - 22-01-48.gif,90021977
90,Gcam3-teleferico-PNteide-CAN-2016-11-05 - 23-38-18.gif,90021980
